NMiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
49,0.0527821666672779,0.006883857798521319,1.9478837874758335,0.5862573555180471,0.24898606125752443,0.3806841730255275,0.06371637511116626,4.228759668149405,0.018450662250065815,0.004221114318625041,-0.00826819103834353,20.707619644833517,False,0.007268191038343531,1998.8162047863007,118456.90743708388,86
50,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2037.9723298549652,123587.5113646561,88
51,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2077.1056356430054,123587.5113646561,90
52,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2114.042971611023,123587.5113646561,91
53,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2153.576068878174,123587.5113646561,93
54,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2192.897820711136,123587.5113646561,95
55,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2229.9819116592407,123587.5113646561,96
56,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2269.3547761440277,123587.5113646561,98
57,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2308.2094807624817,123587.5113646561,99
58,0.052348901281531995,0.006891802742841999,1.9481064034231284,0.5910479615079037,0.24919559408890668,0.3708651490078085,0.06628115906178841,4.245981615160912,0.01901237764116994,0.002802892274274882,-0.005803680139933931,20.721631786963943,False,0.004803680139933931,2347.78346657753,123587.5113646561,101
